kod_nts;wojewodztwo;nazwa_powiatu;rok2003;rok2007;rok2011;rok2015
3061064000;06;m. Zamość;1994,35;2643,00;3163,05;3684,12
3061108000;06;lubartowski;1756,07;2169,07;2858,35;3144,70
3061109000;06;lubelski;1760,62;2239,56;2798,89;3239,53
3061110000;06;łęczyński;3108,53;3655,76;4758,24;5112,84
3061117000;06;świdnicki;1866,58;2344,74;3124,46;4050,02
3061163000;06;m. Lublin;2207,83;2762,84;3606,97;4060,17
3061205000;06;janowski;1741,61;2091,05;2826,82;3436,38
3061207000;06;kraśnicki;1805,99;2159,55;2721,15;3197,23
3061211000;06;łukowski;1671,82;2126,95;2707,26;3065,51
3061212000;06;opolski;1839,54;2193,68;2839,48;3257,97
3061214000;06;puławski;2110,97;2689,62;3542,20;4022,67
3061216000;06;rycki;1788,47;2184,01;2837,68;3207,52
3183301000;18;bieszczadzki;1772,54;2305,75;2945,50;3448,24
3183302000;18;brzozowski;1708,36;2146,82;2802,56;3162,84
3183305000;18;jasielski;1881,71;2302,79;2962,03;3262,91
3183307000;18;krośnieński;1794,75;2119,06;2677,64;3021,31
3183317000;18;sanocki;1914,67;2232,15;2819,31;3251,52
3183321000;18;leski;1993,50;2463,03;2992,87;3504,61
3183361000;18;m. Krosno;1869,83;2136,54;2656,48;3266,12
3183404000;18;jarosławski;1855,62;2336,92;2971,94;3546,57
3183409000;18;lubaczowski;1783,36;2139,09;2753,01;3168,23
3183413000;18;przemyski;1750,00;2164,44;2846,23;3195,46
3183414000;18;przeworski;1860,14;2247,82;2787,16;3130,09
3183462000;18;m. Przemyśl;1953,04;2315,22;3141,56;3501,18
3183506000;18;kolbuszowski;1772,30;2161,39;2623,83;3112,52
3183510000;18;łańcucki;1789,23;2104,04;2705,71;3115,76
3183515000;18;ropczycko-sędziszowski;1856,52;2212,29;2895,86;3365,62
3183516000;18;rzeszowski;1758,13;2127,20;2834,47;3333,91
3183519000;18;strzyżowski;1715,32;2050,88;2617,44;2990,08
3183563000;18;m. Rzeszów;2199,08;2734,81;3532,66;4231,81
3183603000;18;dębicki;1941,53;2318,93;2867,63;3401,58
3183608000;18;leżajski;2045,77;2360,16;3034,18;3302,16
3183611000;18;mielecki;1944,29;2414,94;3066,66;3532,30
3183612000;18;niżański;1677,53;2124,52;2664,35;3017,94
3183618000;18;stalowowolski;2009,03;2546,18;3104,36;3651,26
3183620000;18;tarnobrzeski;2071,41;2531,58;3004,39;3531,20
3183664000;18;m. Tarnobrzeg;1883,44;2225,23;2930,04;3284,02
3203702000;20;białostocki;1793,97;2263,87;2860,23;3338,72
3203711000;20;sokólski;1820,51;2270,82;3013,21;3408,27
3203761000;20;m. Białystok;2201,82;2715,96;3360,36;3844,68
3203803000;20;bielski;1929,59;2497,02;3501,66;3924,61
3203805000;20;hajnowski;1729,53;2386,72;3130,49;3715,52
3203806000;20;kolneński;1800,83;2272,53;3025,50;3393,65
3203807000;20;łomżyński;1948,03;2424,03;3174,65;3708,32
3203810000;20;siemiatycki;1844,16;2189,26;2765,25;3220,48
3203813000;20;wysokomazowiecki;1893,71;2389,50;2988,31;3552,72
3203814000;20;zambrowski;1782,51;2314,51;2965,28;3473,68
3203862000;20;m. Łomża;1899,75;2317,15;2911,43;3338,23
3203901000;20;augustowski;2384,89;2971,97;3421,22;3761,95
3203904000;20;grajewski;2097,71;2735,49;3476,19;3984,35
3203908000;20;moniecki;1867,45;2273,63;3056,78;3364,02
